Year,Texas,California,Michigan,North Carolina,Connecticut,Arkansas
2010,4,4,6,1,1,1
2011,4,8,8,6,2,5
2012,5,1,5,3,1,3
2013,3,3,9,2,1,1
2014,4,3,10,6,4,3
2015,9,7,6,5,1,3
2016,5,11,2,3,6,2
2017,8,2,5,3,3,3
2018,5,13,6,10,7,3
2019,16,22,8,5,3,4
2020,20,4,5,12,11,8
